Title,ID,Abstract,Full text,FT_Relevant_Lorena,FT_Relevant_Manuel,FT_Relevant_Katja,Comments_Lorena,Comments_Manuel,Comments_Katja,DOI
Active versus passive touch: Factors influencing the transmission of somatosensory signals to primary sornatosensory cortex,129,"Active and passive touch, respectively with and without voluntary movement on the part of the subject, are frequently reported to be equivalent in terms of the resultant perceptual abilities. This review reexamines the notion of perceptual equivalence in the light of growing evidence that the transmission of tactile inputs is diminished, or 'gated,' during the Course of active movement. It is concluded that there is indeed gating of cutaneous inputs during active touch. In most experiments, the paradoxical observation of perceptual equivalence between active and passive touch can partly be explained by the choice of task, namely, tactile discriminations that depend on relative, and not absolute, differences in inputs. The surprising lack of evidence for any superiority of passive touch over active touch can likely be explained by several factors. First, performance with active touch may be enhanced by the motor strategy, e.g., by reducing the speed; of movement at critical points, and so reducing the degree of gating, and (or) by optimally orienting the exploring digits so as to bring the most sensitive skin areas into contact with the object in question. Second, central influences, including attention and motor set, may be specifically activated during voluntary movement and contribute to enhancing performance during active touch. Thus, the gating influences associated with active touch may be offset, partly or wholly, by the combined influence of these factors to yield (near) perceptual equivalence for active and passive touch.",,,,,,review,relevant review but not experimental data,10.1139/y94-080
Prediction of primary somatosensory neuron activity during active tactile exploration,130,"Primary sensory neurons form the interface between world and brain. Their function is well-understood during passive stimulation but, under natural behaving conditions, sense organs are under active, motor control. In an attempt to predict primary neuron firing under natural conditions of sensorimotor integration, we recorded from primary mechanosensory neurons of awake, head-fixed mice as they explored a pole with their whiskers, and simultaneously measured both whisker motion and forces with high-speed videography. Using Generalised Linear Models, we found that primary neuron responses were poorly predicted by whisker angle, but well- predicted by rotational forces acting on the whisker: both during touch and free-air whisker motion. These results are in apparent contrast to previous studies of passive stimulation, but could be reconciled by differences in the kinematics-force relationship between active and passive conditions. Thus, simple statistical models can predict rich neural activity elicited by natural, exploratory behaviour involving active movement of sense organs.",,,,,They could have behavioral data,,,10.7554/eLife.10696
Achronopresence: how temporal visuotactile and visuomotor mismatches modulate embodiment,40,"The loss of body ownership, the feeling that your body and its limbs no longer belong to you, presents a severe clinical condition that has proven difficult to study directly. We here propose a novel paradigm using mixed reality to interfere with natural embodiment using temporally conflicting sensory signals from the own hand. In Experiment 1 we investigated how such a mismatch affects phenomenological and physiological aspects of embodiment, and identified its most important dimensions using a principle component analysis. The results suggest that such a mismatch induces a strong reduction in embodiment accompanied by an increase in feelings of disownership and deafference, which was, however, not reflected in physiological changes. In Experiment 2 we refined the paradigm to measure perceptual thresholds for temporal mismatches and compared how different multimodal, mismatching information alters the sense of embodiment. The results showed that while visual delay decreased embodiment both while actively moving and during passive touch, the effect was stronger for the former. Our results extend previous findings as they demonstrate that a sense of disembodiment can be induced through controlled multimodal mismatches about one’s own body and more so during active movement as compared to passive touch. Based on the ecologically more valid protocol we propose here, we argue that such a sense of disembodiment may fundamentally differ from disownership sensations as discussed in the rubber hand illusion literature, and emphasize its clinical relevance. This might importantly advance the current debate on the relative contribution of different modalities to our sense of body and its plasticity.",24.pdf (https://dl.airtable.com/.attachments/bbbe2c0a2c806a9ba4d95fb346e868d8/faa43456/24.pdf),,,,This deserves to be checked,,nothing about active-passive distinction,https://doi.org/10.1101/596858
Contribution of motion parallax to segmentation and depth perception,131,"Relative image motion resulting from active movement of the observer could potentially serve as a powerful perceptual cue, both for segmentation of object boundaries and for depth perception. To examine the perceptual role of motion parallax from shearing motion, we measured human performance in three psychophysical tasks: segmentation, depth ordering, and depth magnitude estimation. Stimuli consisted of random dot textures that were synchronized to head movement with sine- or square-wave modulation patterns. Segmentation was assessed with a 2AFC orientation judgment of a motion-defined boundary. In the depth-ordering task, observers reported which modulation half-cycle appeared in front of the other. Perceived depth magnitude was matched to that of a 3D rendered image with multiple static cues. The results indicate that head movement might not be important for segmentation, even though it is crucial for obtaining depth from motion parallax-thus, concomitant depth perception does not appear to facilitate segmentation. Our findings suggest that segmentation works best for abrupt, sharply defined motion boundaries, whereas smooth gradients are more powerful for obtaining depth from motion parallax. Thus, motion parallax may contribute in a different manner to segmentation and to depth perception and suggests that their underlying mechanisms might be distinct. © ARVO.",,,,,I don't think they have a passive condition,I think there are no passive vs active conditions,,10.1167/11.9.13
Gone in 06 Seconds The Encoding of Motor Memories,42,"Real-world tasks often require movements that depend on a previous action or on changes in the state of the world. Here we investigate whether motor memories encode the current action in a manner that depends on previous sensorimotor states. Human subjects performed trials in which they made movements in a randomly selected clockwise or counterclockwise velocity-dependent curl force field. Movements during this adaptation phase were preceded by a contextual phase that determined which of the two fields would be experienced on any given trial. As expected from previous research, when static visual cues were presented in the contextual phase, strong interference (resulting in an inability to learn either field) was observed. In contrast, when the contextual phase involved subjects making a movement that was continuous with the adaptation-phase movement, a substantial reduction in interference was seen. As the time between the contextual and adaptation movement increased, so did the interference, reaching a level similar to that seen for static visual cues for delays >600 ms. This contextual effect generalized to purely visual motion, active movement without vision, passive movement, and isometric force generation. Our results show that sensorimotor states that differ in their recent temporal history can engage distinct representations in motor memory, but this effect decays progressively over time and is abolished by ∼600 ms. This suggests that motor memories are encoded not simply as a mapping from current state to motor command but are encoded in terms of the recent history of sensorimotor states.",,,,,,,,
Otoacoustic emissions from insect ears: Evidence of active hearing?,132,"Sensitive hearing organs often employ nonlinear mechanical sound processing which generates distortion-product otoacoustic emissions (DPOAE). Such emissions are also recordable from tympanal organs of insects. In vertebrates (including humans), otoacoustic emissions are considered by-products of active sound amplification through specialized sensory receptor cells in the inner ear. Force generated by these cells primarily augments the displacement amplitude of the basilar membrane and thus increases auditory sensitivity. As in vertebrates, the emissions from insect ears are based on nonlinear mechanical properties of the sense organ. Apparently, to achieve maximum sensitivity, convergent evolutionary principles have been realized in the micromechanics of these hearing organs-although vertebrates and insects possess quite different types of receptor cells in their ears. Just as in vertebrates, otoacoustic emissions from insects ears are vulnerable and depend on an intact metabolism, but so far in tympanal organs, it is not clear if auditory nonlinearity is achieved by active motility of the sensory neurons or if passive cellular characteristics cause the nonlinear behavior. In the antennal ears of flies and mosquitoes, however, active vibrations of the flagellum have been demonstrated. Our review concentrates on experiments studying the tympanal organs of grasshoppers and moths; we show that their otoacoustic emissions are produced in a frequency-specific way and can be modified by electrical stimulation of the sensory cells. Even the simple ears of notodontid moths produce distinct emissions, although they have just one auditory neuron. At present it is still uncertain, both in vertebrates and in insects, if the nonlinear amplification so essential for sensitive sound processing is primarily due to motility of the somata of specialized sensory cells or to active movement of their (stereo-)cilia. We anticipate that further experiments with the relatively simple ears of insects will help answer these questions. © 2008 Springer-Verlag.",,,,,,,,10.1007/s00359-008-0344-0
Methodology of dynamic actuation for flexible magnetic actuator and biomimetic robotics application,133,"Recently, materials and locomotion control methods of micro robot have been developed for applying to the biomedical application. Especially, many researches of biomimetics locomotion and magnetic actuators have been introduced. In this paper, we introduced methodology of dynamic actuation of the flexible magnetic actuator so as to drive micro robot. Proposed methodology presents both static motion and dynamic motion by correlation between the magnetic moment and the rotating magnetic field. This method can provide much more active movement than the general control method of ac and dc magnetic field. Various actuations of the flexible magnetic actuator are applied to new swimming method of fish-like micro robot and locomotion of inchworm-like micro robot. Also, the flexible magnetic actuator based the micro robots have not only advantage of the dynamic actuation but also advantage of wireless control and no inserted battery. © 2006 IEEE.",,,,,,robots,,10.1109/TMAG.2010.2040467
Brainstem processing of vestibular sensory exafference: Implications for motion sickness etiology,134,"The origin of the internal ""sensory conflict"" stimulus causing motion sickness has been debated for more than four decades. Recent studies show a subclass of neurons in the vestibular nuclei and deep cerebellar nuclei that respond preferentially to passive head movements. During active movement, the semicircular canal and otolith input (""reafference"") to these neurons are canceled by a mechanism comparing the expected consequences of self-generated movement (estimated with an internal model-presumably located in the cerebellum) with the actual sensory feedback. The un-canceled component (""exafference"") resulting from passive movement normally helps compensate for unexpected postural disturbances. Notably, the existence of such vestibular ""sensory conflict"" neurons had been postulated as early as 1982, but their existence and putative role in posture control and motion sickness have been long debated. Here, we review the development of ""sensory conflict"" theories in relation to recent evidence for brainstem and cerebellar reafference cancelation, and identify some open research questions. We propose that conditions producing persistent activity of these neurons, or their targets, stimulate nearby brainstem emetic centers-via an as yet unidentified mechanism. We discuss how such a mechanism is consistent with the notable difference in motion sickness susceptibility of drivers as opposed to passengers, human immunity to normal self-generated movement and why head restraint or lying horizontal confers relative immunity. Finally, we propose that fuller characterization of these mechanisms and their potential role in motion sickness could lead to more effective, scientifically based prevention and treatment for motion sickness. © 2014 Springer-Verlag.",,,,,,review. brain-centered,,10.1007/s00221-014-3973-2
Functional properties of monkey motor cortex neurones receiving afferent input from the hand and fingers,135,"1. Records have been made from area 4 of the cerebral cortex in five conscious monkeys. The properties of 216 neurones responsive to natural stimulation of the hand and fingers have been investigated. 2. 46% of these neurones responded only to cutaneous stimulation (especially light brushing across the glabrous skin) and a further 38% responded only to movement of the digits. 4% responded to brief prods of the hand. 12% of the sample responded to more than one stimulus modality. 3. Many hand‐input neurones, including pyramidal tract neurones, responded at short‐latency (8‐15 msec) to light mechanical stimulation of the hand and to weak electrical stimulation of the median nerve. 4. Responsive neurones were found at all depths of the cortical grey matter. Responses of shortest latency were encountered in neurones probably located in layers IV and V. 5. The behaviour of eighty hand‐input neurones was analysed during a simple, stereotyped task which involved pulling a lever and collecting a food reward from a small well. For comparison, the activity of 117 neurones with inputs from the wrist, elbow or shoulder was also analysed. 6. Nearly all hand‐input neurones modulated their activity either before (48/80) or during (29/80) the retrieval of the reward which required precision grip between index finger and thumb. Many were silent during proximal arm movements and some displayed activity patterns independent of these movements. 7. By contrast, the activity of many neurones with proximal arm (elbow, shoulder) inputs was unrelated to food retrieval and manipulation, but well related to arm movements. 8. Forty‐three of the eighty neurones had cutaneous input from the hand. Twenty‐seven were active before hand contact. Thirty‐five modulated their discharge when contact was made (twenty‐one excitation, fourteen inhibition). 9. Most hand‐input neurones were more active during fractionated movements of the hand or fingers than during power or ball grips requiring simultaneous flexion of all digits. Neurones with glabrous inputs often showed intense activity during small, precise finger movements and during active tactile exploration without the aid of vision. 10. Analysis of the discharge frequency of twenty‐five hand‐input neurones revealed that some (mainly non‐pyramidal tract neurones) had a similar mean frequency and range of modulation during both active movement and passive stimulation. Others (mainly pyramidal tract neurones) had a greater frequency range and higher mean frequency during active than during passive movements. © 1981 The Physiological Society",,,,,,,,10.1113/jphysiol.1981.sp013601
A comparison of two methods for the training of spatial cognition,136,"Compared 2 methods of teaching the difference between right and left to 18 preschool children. A group of 6 children received active, movement-oriented training; a 2nd group of 6 received passive visual-oriented training; and a 3rd group received no training. Dependent measures of the knowledge of right and left were taken before the training, immediately after training, and 2 wks afterward. The dependent measures varied in the level of required abstraction. Both movement and visual training enhanced performance, but the movement-oriented training was significantly more effective on less abstract tests of spatial knowledge. (PsycINFO Database Record (c) 2000 APA, all rights reserved)(unassigned) *LHM: UQ Library Call No. HQ1 .M4 SS&H Journal holding: 1(1954)-41(1995);42(1996)- Internet Access holding: (1997-) Internet Access holding: (1998)- Record 103 of 118 in PsycINFO 1967-1976",,,,,,,,
An investigation of the effect of continuous passive motion and lower limb passive movement on heart rate in normal volunteers,137,"Previous studies have indicated that passive movement of the lower limb may affect cardiopulmonary function via a neuronal reflex activated by afferent inputs from articular receptors. This study compared the effect of lower limb continuous passive motion, lower limb passive movement and lower limb active movement on heart rate in normal volunteers. These techniques are used extensively by physiotherapists in clinical practice. A knowledge of the influence of these techniques on cardiac function should be an important factor in designing maintenance programmes for patients with cardiovascular disorders. The study shows that while lower limb active movement has a significant effect on heart rate, lower limb passive movement and lower limb continuous passive motion produce only a small increase in heart rate. This suggests that lower limb passive motion and continuous passive motion are techniques which may be safely used as a means of maintaining lower limb range of movement and function in the treatment of patients whose cardiovascular system is compromised, although further study is necessary to establish that such patients respond similarly. © 1993 Informa UK Ltd All rights reserved: reproduction in whole or part not permitted.",,,,,,,not effect on perception,10.3109/09593989309036481
"Poster 308 Improvement of Spasticity, Active Movements and Active Function after Repeated Injections of AbobotulinumtoxinA (Dysport) in Adults with Spastic Paresis in the Upper Limb: Results of a Phase III Open-Label Extension Study",138,"Objective: Assessment of long term efficacy on spasticity, active movements, active function and safety of abobotulinumtoxinA over repeated treatment cycles in hemiparetic patients with upper limb spasticity due to stroke/traumatic brain injury. Design: Open-label extension to a double-blind study. Setting: Phase III, international, multicenter. Participants: 258 patients consisting of 227 rollover patients who completed a double-blind study (Gracies, et al. Lancet Neurol. 2015) and 31 de novo patients. Interventions: AbobotulinumtoxinA 500U, 1000U or 1500U (selected and adapted by investigator) for up to 4/5 cycles. Main Outcome Measures: Spasticity (Tardieu Scale: passive range of motion [XV1] and angle of catch [XV3]), active range of motion in the primary target muscle group (PTMG: finger, wrist or elbow flexors), active function (Modified Frenchay Scale, MFS [assessed by videotaping patients' performance of ten tasks using the upper limb, scored by independent observer) and safety assessments. Results (mean change (SD) from baseline) are provided irrespective of dose (500U, 1000U, 1500U) administered. Results: Passive range of motion and angle of catch improved over repeated cycles in the three PTMGs. The increase of active finger extension of +19.8° (28.8) seen at Week 4 in the double-blind phase nearly doubled to +38.0° (53.4) in cycle 4 of the open-label phase. A progressive improvement over cycles was also broadly observed for wrist and elbow extension. Upper limb active function (MFS) improved progressively over cycles: the increase of +0.21 (0.53) observed at Week 4 of the double-blind phase reached +0.40 (0.75) at Week 4 of cycle 4. The incidence of treatment emergent adverse events decreased over repeated cycles from 41.5% in the double-blind study to 13.6% in cycle 4 of the open-label phase. Conclusions: Over repeated cycles of abobotulinumtoxinA injections, improvements of spasticity and active movements were observed; this was associated with a progressive improvement in active function. The safety profile was consistent with previously reported data on abobotulinumtoxinA.",,,,,,,,10.1016/j.pmrj.2016.07.479
Perceptual and motor effects of agonist-antagonist muscle vibration in man,139,"Perceptual and motor effects of vibration applied simultaneously to the distal tendons of the Biceps and Triceps muscles, in isometric conditions and without sight of the stimulated arm, have been studied in human volunteers. Motor effects, measured by surface EMG, are inexistent when the flexor and extensor muscles are simultaneously vibrated at the same frequency. However, EMG activity appears in the muscle being vibrated at the lower frequency when simultaneous vibration is applied at different frequencies. The sensations felt by the subjects were reproduced by the nonvibrated arm and recorded by a goniometer. The studies show that the velocity and the amplitude of the ilusory movement is related to the difference in vibration frequency applied to the two muscles. The direction of movement felt (flexion or extension) is that produced by shortening of the muscle being vibrated at the lower frequency. When the two vibration frequencies are the same, there is either no sensation of movement, or a sensation of very slow movement. These results support the notion that the sensation of movement at a joint may be derived from a central processing of the proprioceptive inflow data obtained from flexor and extensor muscles. This interpretation may also be valid for the results obtained earlier by vibration of a single muscle. Furthermore, it is coherent with data on spindle afferent fibres obtained by microneurography in man during passive or active movements. © 1986 Springer-Verlag.",,,,,,,,10.1007/BF00239528
[Mutual influences of upper and lower extrimities during cyclic movements].,140,"The possibility of muscle activation of passive arm during its cyclic movements, imposed by active movements of contralateral arm or by experimenter was studied, as well as the influence of lower extremities cyclic movements onto arm muscles activity. In addition to that the activity of legs muscles was estimated in dependence on motor task condition for arms. Ten healthy supine subjects carried out opposite movements of arms with and without stepping-like movements of both legs. The experiment included three conditions for arm movements: 1) the active movements of both arms; 2) the active movements of one arm, when other entirely passive arm participated in the movement by force; 3) passive arm movement caused by experimenter. In the condition 2) additional load on active arm was applied (30 N and 60 N). In all three conditions the experiment was carried out with arms movements only or together with legs movements. The capability of passive moving arm muscles activation depended on increasing afferent inflow from muscles of contralateral arm was demonstrated. Emerging electrical activity was modulated in the arms movements cycle and depended on the degree of active arm loading. During combined active movements of arms and legs the reduction of activity in the flexor muscles of shoulder and forearm was observed. Concomitant arms movements increased the magnitude ofelectromiographic bursts during passive stepping-like movements in the most of recorded muscles, and the same increasing was only observed in biceps femoris and tibialis anterior muscles during active legs movement. The increasing of loading of one arm caused essential augmentation of EMG-activity in the majority of recording legs muscles. The data obtained are the additional proof of existence of functionally significant neuronal interaction both between arms and between upper and lower extremities, which is evidently depend on the intraspinal neuronal connections.",,,,,,,,
Spinal fractures: a clinico-radiographic approach,141,"Purpose:  To review the radiology of spinal fractures and purpose seed clinical pathways for determining the appropriateness of radiology of spinal trauma patients likely to present in chiropractic offices.  Implications of appropriateness and timing of manipulation in spinal fractures are discussed.  Method:  A qualitative literature review was conducted, supplemented with clinical case review from files at the Los Angeles College of Chiropractic Radiology Department.  Summary:  Peak incidence of spinal fracture occurs in the young adult population with a male prevalence.  However, females are predisposed to spinal fracture in the older population.  The lumbosacral spine is the most frequent site for spinal fracture and is usually associated with falls and motor vehicle accidents.  The nature of fracture is likely to induce characteristic changes in the anterior, middle and posterior spinal column regions, serving as a guide for evaluating the radiograph.  Adjustive methods may be appropriate in the posttraumatic therapeutic regimen depending on the nature and severity of trauma, the degree of healing, the amount of initial and residual deformation, and the neurologic status of the patient.  An approach of passive and active movements of gradually increasing intensity may be therapeutically beneficial.",,,,,,,,
Cortical neuromagnetic fields evoked by voluntary and passive hand movements in healthy adults,142,"Neuromagnetic fields were recorded from the left cerebral hemisphere of six healthy right-handed subjects under three different conditions: (1) externally triggered rapid voluntary extension and flexion of the right hand, (2) passive extension and flexion of the right hand, and (3) stimulation of the skin of the right index finger by means of air pressure. Location analysis using the current density analysis did not reveal any differences between motor evoked field I (MEF I) in active and passive movements, and met the maximum of cerebral activation in the contralateral precentral region. In contrast, the sensory evoked field was located clearly in the contralateral postcentral region. Additionally, a significantly shorter latency of MEF I (with respect to movement onset) was observed in flexion compared with extension in both passive and active movements. These results support the assumption that MEF I is generated by cortical activation resulting from proprioceptive, probably muscle spindle, input. The current density analysis has proved to be an appropriate method for investigating movement-related fields. Furthermore, the described method seems to be appropriate for evaluating the processes of cortical reorganization and the influence of neurorehabilitation within longitudinal studies in patients with lesions in motor centers of the brain.",,,,,,,,10.1097/00004691-200304000-00002
The human horizontal vestibulo-ocular reflex in response to active and passive head impulses after unilateral vestibular deafferentation,143,"We studied the compensatory eye movements made by subjects with unilateral vestibular deficits in response to passive (unpredictable, manually generated) and active (predictable, self-generated) head impulses. A typical head impulse is a brief, low-amplitude (15-20°), high-velocity (150-350°/s), high-acceleration (4000-6000°/s2), yaw head-on-trunk rotation. In the initial 75 ms of the response, the vestlbulo-ocular reflex gain was significantly higher during active head impulses to both ipsilesional and contralesional sides, than during passive impulses. Mean gains were 0.15 (ipsilesional passive), 0.44 (ipsilesional active), 0.5 (contralesional passive), and 0.76 (contralesional active). Differences between active and passive head impulses were present from near the onset of head rotation. The mechanism for producing this behavior is unclear, but the findings could be related to enhanced sensitivity of second-order neurons during active head impulses. However, even with active movements, there is still a large and statistically significant asymmetry in the eye-movement responses for ipsilesional as opposed to contralesional head rotations. After 75 ms, rapid corrective eye movements often were generated to reduce any remaining gaze error.",,,,,,,,10.1196/annals.1303.030
Fluid secretion by the Malpighian tubules of insects,144,"Malpighian tubules of insects typically secrete an iso-osmotic fluid by a process which is thought to involve the following: (1) Potassium ions enter the tubule cells by a process which is sodium dependent and which may be active; they are then actively pumped into the lumen by an electrogenic pump. (2) Sodium ions cross the wall in a similar fashion to potassium ions but their entry into the cells is very restricted so that they are transported only slowly. (3) These active cation movements create a trans-wall potential favouring the passive movements of anions from the haemolymph into the lumen. (4) With one exception, smaller anions appear to cross the wall faster than do larger ones. The exception is that phosphate ions cross faster than any other anion in spite of their large size. The evidence suggests that this is more likely to be achieved by facilitated diffusion but active movements are not excluded. (5) The apical and basal membranes of the tubule cells are elaborately folded. It is suggested that these foldings act to couple movement of water to the movements of ions by allowing the development of standing osmotic gradients. (6) Such gradients will be small because the channels in which they occur are short. However, as the cell membranes probably have a high osmotic permeability water is likely to be able osmotically to equilibrate with the channel contents to produce an iso-somotic secretion. (7) The folds in the cell membrane are such that a parallel array of channels alternately opening to the cytoplasm and to the extracellular fluid is produced. Such an arrangement leads to a steeper osmotic gradient across the cell wall and this will promote a more efficient coupling of solute and water movements.",,,,,,,,10.1098/rstb.1971.0089
Clinical assessment of spasticity in children,145,"Spasticity is a common disorder in patients with injury of the brain and spinal cord. Cerebral palsy (CP) is the most common cause of spasticity in children. Around 80% of patients with CP are affected by spasticity. Other pediatric disorders that cause spasticity include traumatic brain injury, spinal cord injury, stroke, encephalitis, meningitis and various neurodegenerative and metabolic disorders. Spasticity is a term frequently used beyond its definition to describe muscle over activity associated with weakness, hyperreflexia and other signs of the upper motor neuron syndrome. The definition of spasticity has been simplified to describe an increase in velocity dependent muscle stretch reflexes (Lance, 1980). Patients affected by spasticity may also have other manifestations of muscle over activity (i.e., abnormal coactivation of agonist and antagonist muscles, spastic dystonia, etc.) that along with paresis and soft tissue contracture cause motor impairment. Muscle over activity is particularly important to be recognized and assessed by the clinician since it can be effectively treated. Clinical assessment of spasticity includes: identification of the impairment and differentiation from other types of hypertonia, measurement of spasticity, and assessment of the impact of spasticity on function, care and quality of life. A sub-group of investigators of the NIH Taskforce on Childhood Motor Disorders developed the HAT, a seven-item clinical assessment tool to help differentiate different types of pediatric hypertonia. The HAT proved to have good test re-test and inter-rater reliability as well as validity for identification of spasticity (Fehlings, et al). Spasticity is generally assessed by passively moving a joint to grade muscular resistance, using e.g. the Ashworth Scale (AS) and Modified Ashworth Scale (MAS). These clinical assessments have been criticized for incorrectly measuring spasticity due to their inability to differentiate neural from non-neural components and for their poor reliability when assessing lower limb spasticity. More consistent with Lance's definition of spasticity are the Tardieu Scale (TS) and the Modified Tardieu Scale (MTS). These measures have been found to be more valid and reliable than the AS and MAS. Standardization and proper training have the potential of increasing the reliability and clinical value of these scales. Objective, quantitative and robust measurements are thus crucial for the accurate evaluation of spasticity and treatment efficacy. Several instrumented approaches have been suggested which can be categorized as biomechanical, neurophysiologic and integrated. Biomechanical approaches capture the behavior of muscles by measuring joint position, angular velocity and torque (reactive-resistance) during well-defined movements. Isokinetic devices displace a limb at a controlled velocity and have been used to measure limb resistance to passive movement. However, these are often bulky and difficult to apply for children. Smaller, manually controlled dynamometers have similar reproducibility and are clinically more feasible. Neurophysiologic approaches investigate the muscles' electrical activity in reaction to e.g. passive and active movements, generally using surface electromyography (sEMG). These are considered more valid than the clinical scales and sEMG has been used to identify different spasticity patterns. However, when used in isolation, the electrophysiological approaches provide no information about reactive-resistance. An integrated approach considers both neurophysiologic and biomechanical methods. So far, hardly any measurement that fully integrates multidimensional signals is clinically feasible and few have been assessed for reliability. It is commonly assumed that there is a causal relationship between spasticity, activity limitation, participation and independence. In some cases however, spasticity may not only not interfere with function, it may actually enhance it; in others, although it may not interfere with function, if left untreated, complications may later arise. Without a better understanding and valid and reliable assessment methods, progress towards better treatment and management of spasticity and associated phenomena are hampered.",,,,,,,,
Directional tuning of human forearm muscle afferents during voluntary wrist movements,146,"1. Single unit activity was recorded with the microneurography technique from sixteen spindle afferents and one Golgi tendon organ afferent originating from the forearm extensor muscles. Impulse rates were studied while subjects performed unobstructed aiming movements at the wrist in eight different directions 45 deg apart. In addition, similar imposed movements were performed while the subject was instructed to remain relaxed. Movement amplitudes were about 5 deg and the speed 10-30 deg s-1. Joint movements were translated to movements of a cursor on a monitor to provide visual feedback. 2. Individual spindle afferents modulated their activity over a number of targets, i.e. were broadly tuned, during these aiming movements. The preferred direction for a spindle afferent was the same during both passive and active movements, indicating that the fusimotor effects associated with active contractions had little or no effect on the direction of tuning. 3. The direction of tuning of individual spindle afferents could be predicted from the biomechanically inferred length changes of the parent muscle. Thus spindle afferents responded as stretch receptors, i.e. impulse rates increased with lengthening and decreased with shortening, in active as well as passive movements. 4. Spindles from muscles, which continuously counteracted gravity exhibited a stretch response and directional tuning during the phase of movement alone whereas their position sensitivity was poor. In contrast, spindle afferents from the muscles that had no or minimal antigravity role were directionally tuned during both the dynamic and the static phase of the aiming task and their position sensitivity was substantially higher. 5. In spite of the limited data base from three extensor muscles it could be demonstrated that wrist joint position was remarkably well encoded in the ensemble muscle spindle data. In some cases the ensemble muscle spindle data encoded the instantaneous trajectory of movement as well.",,,,,,,,10.1111/j.1469-7793.2001.0635c.xd
Antennal Movements and Mechanoreception: Neurobiology of Active Tactile Sensors,147,"The tactile sense provides animals with vital information about their immediate environment, comprising cues on object location and surface properties. In insects and other arthropods, the antennae are probably the most important part of this tactile sense. The paired insect antenna is regarded as a true, segmented limb arising from the cranium, although there is still some debate about the precise number of segments in the head of the Mandibulata (Crustacea, Myriapoda and Insecta; Schmidt-Ott and Technau, 1992; Schmidt-Ott et al., 1994; Damen et al., 1998; Abzhanov and Kaufman, 1999; Boyan and Williams, 2002). Hennig (1986) uses the name Antennata as a synonym for the Mandibulata, expressing the fact that this taxon comprises all living arthropod species with antennae. The most ancient arthropods, the extinct trilobites, also carried antennae, which is why the 1st pair of antennae is typically considered to be the first pair of limbs, i.e. articulated appendages, in the ground plan of all arthropods. Accordingly, the Chelicerata are thought to have secondarily lost their antennae. Within the Mandibulata, the Crustacea carry two pairs of antennae: the antennules (first pair) are appendages of the deutocerebral segment and are considered to be homologous to the insect antenna, whereas the second pair of antennae are the appendages of the so-called tritocerebral segment (Hennig, 1986; Brusca and Brusca, 1990; Telford and Thomas, 1998; Boyan et al., 2002). Insects have lost the second pair of antennae during evolution. Antennae are equipped with various types of mechanoreceptors, including large numbers of exteroreceptive sensory hairs, but also proprioreceptors such as internal chordotonal organs, external hair plates, and campaniform sensilla. Being moveable, the antennae can actively sample the space surrounding the animal, thus aiding the localisation of obstacles, recognition of conspecifics or predators, active tracking of objects, or probing of surface structures. Because both passive and active movements can occur during tactile sensing, the tactile sensory system requires integration of proprioreceptive and exteroreceptive information in order to locate the stimulus source. Moreover, self-induced sensory stimulation may have to be predicted from motor commands, and compared with the actual sensory input. Therefore, understanding the neurobiology of the tactile sense of insects and crustaceans requires an integrative view of the motor physiology and biomechanics on the one hand, and of the neurophysiology of the participating sensory and interneuronal structures on the other. In the light of this knowledge, the functional significance of the various system components can be interpreted for a range of natural behaviours. The last integrative view on insect antennae that included all known sensory modalities was given by Schneider (1964). Since then, much progress has been made, not only in the field of insect olfaction (e.g. Hansson, 1999) and the sensory physiology of mechanoreceptors (e.g. McIver, 1975, 1985; Zacharuk, 1985), but also in elucidating key components in tactile behaviours such as the localisation of obstacles or physical interactions in intraspecific communication. To illustrate this body of knowledge, and to extend and contrast the mentioned reports on mechanoreception, it is the aim of the present review to combine aspects of antennal biomechanics, mechanoreception, processing of tactile information, and the behavioural repertoire involving the antennal tactile sense. Each of these aspects will be treated in separate sections, concentrating on prominent animal model systems, such as the cockroach (mainly Periplaneta americana L. and Blaberus sp.), stick insect (Carausius morosus Br.), cricket (Gryllus sp., Teleogryllus sp. and Acheta domesticus L.), locust (Locusta migratoria L. and Schistocerca gregaria Forskål) and the honeybee (Apis mellifera L.). For comparison with a related animal group that employs very similar, though not homologous, organs in tactile sensing, we will expand our view on decapod crustaceans, notably crayfish and lobsters. Finally, we discuss the potential of active tactile sensing from a technical perspective, to point at a helpful mutual exchange between engineering and animal physiology. © 2005 Elsevier Ltd. All rights reserved.",,,,,,,,10.1016/S0065-2806(05)32002-9
